relation_id,subject_ku_id,object_ku_id,predicate,direction,time,role,scope,origin,status,evidence_doc_id,evidence_source_file,evidence_span
rel-1,units/persons/alessandro-bettagno,units/institutions/cini-institute-of-art-history,employed_by,forward,1954年起；结束时间未载,研究助理，任朱塞佩·菲奥科的助手,基金会资料称自研究所1954年成立时起任助手；没有为助手任期补设终止年份,enrich,formal,persons-alessandro-bettagno,https://www.cini.it/en/eventi/book-launch-venezia-settecento-studi-in-memoria-di-alessandro-bettagno/,人物简介段
rel-2,units/persons/alessandro-bettagno,units/institutions/cini-institute-of-art-history,employed_by,forward,1989–2002,所长,艺术史研究所负责人任期,enrich,formal,persons-alessandro-bettagno,https://www.cini.it/en/eventi/book-launch-venezia-settecento-studi-in-memoria-di-alessandro-bettagno/,人物简介段
rel-3,units/persons/alessandro-bettagno,units/institutions/ca-foscari-university-venice,employed_by,forward,1972年起；结束时间未载,艺术史教授,Ca’ Foscari外国语言与文学学院艺术史讲席；来源未载任期结束时间,enrich,formal,persons-alessandro-bettagno,https://www.cini.it/en/eventi/book-launch-venezia-settecento-studi-in-memoria-di-alessandro-bettagno/,人物简介段
rel-4,units/persons/alessandro-peretti-montalto,units/persons/sixtus-v,kin_of,forward,,侄辈,第一章明确的亲缘称谓；不据此补造父母链,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 68–70; print pp. 4
rel-5,units/persons/alessandro-peretti-montalto,units/families/peretti-family,member_of,forward,,,,enrich,formal,dbi-peretti-damasceni,https://www.treccani.it/enciclopedia/alessandro-peretti-damasceni_(Dizionario-Biografico)/,佩雷蒂家族卡 S6；开篇亲缘与改姓段
rel-6,units/persons/alessandro-vasalli,units/persons/pier-francesco-mola,testified_about,forward,,争议证人,解释Mola对Pamfili的有偿优先服务,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 179–185; print pp. 6
rel-7,units/persons/alof-de-wignacourt,units/institutions/knights-hospitaller,member_of,forward,1564–1622,成员；1601–1622任大团长,个人在医院骑士团的成员与领导职务,enrich,formal,member-of-institutions-knights-hospitaller-wignacourt,https://en.wikipedia.org/wiki/Alof_de_Wignacourt,infobox与Biography导言
rel-8,units/persons/amadeo-swajer,units/persons/johann-conrad-hofmann,trained_by,forward,,家庭教育,家庭教师身份明确，不外推大学学历,enrich,formal,persons-amadeo-swajer,https://media.agiati.org/page/attachments/memorie-mem-06-i-buoni-ingegni-della-patria-art02-ferrari.pdf,印刷p.52教师段；PDF第2页
rel-9,units/persons/amadeo-swajer,units/persons/katharina-heinzelmann,kin_of,forward,1760年4月底结婚,丈夫→妻子,婚姻开始日期明确，未推定配偶生卒或婚姻结束日期,enrich,formal,persons-amadeo-swajer,https://media.agiati.org/page/attachments/memorie-mem-06-i-buoni-ingegni-della-patria-art02-ferrari.pdf,印刷p.57首段；PDF第7页
rel-10,units/persons/amadeo-swajer,units/institutions/accademia-degli-agiati,member_of,forward,1752年加入,学会会员,学会吸收为会员，学名Marsio；不推定终止年份,enrich,formal,persons-amadeo-swajer,https://media.agiati.org/page/attachments/memorie-mem-06-i-buoni-ingegni-della-patria-art02-ferrari.pdf,印刷p.58第2节首段；PDF第8页
rel-11,units/persons/amadeo-swajer,units/places/venice,located_at,forward,1727-12-12出生；1791-12-28去世,出生／去世,出生与去世地点均为威尼斯,enrich,formal,persons-amadeo-swajer,https://media.agiati.org/page/attachments/memorie-mem-06-i-buoni-ingegni-della-patria-art02-ferrari.pdf,印刷p.51末段及p.57首段；PDF第1、7页
